EmployeeID,Name,Age,Gender,Department,Designation,ExperienceYears,Skillset,Salary,ProductivityScore,JoiningDate,WorkLocation,EducationLevel,RemoteWorkEligible,PerformanceRating,LastPromotionYear,ManagerID
E00554,Alice Lyons,31.0,Female,Marketing,Senior,9.0,Excel,63875.0,71.0,2011-07-24,Kolkata,High School,Yes,4.0,2019.0,E03290
E04700,David Le,40.0,Male,Marketing,Senior,9.0,"Content Creation, Communication",60301.0,49.0,2021-08-11,Noida,PhD,Yes,3.0,2025.0,E00445
E00987,Benjamin Bentley,29.0,Male,IT,Executive,3.0,"Java, Cloud Computing, SQL",31349.0,51.0,2022-08-28,Delhi,Master,Yes,3.0,2025.0,E03808
E09877,Scott Gregory,21.0,Female,Marketing,Executive,0.0,"Excel, Content Creation",29202.0,55.0,2012-05-03,Delhi,High School,Yes,3.0,2012.0,E04120
E04566,Madeline Shields,34.0,Male,Operations,Lead,12.0,"Analytics, Project Management, Logistics",90094.0,72.0,2017-05-14,Kolkata,Master,No,4.0,2025.0,E09434
E04581,Michael Ramos,25.0,Male,Sales,Junior,2.0,"Negotiation, Marketing, CRM",35469.0,49.0,2022-11-15,Delhi,Bachelor,No,3.0,2022.0,E08824
E09433,Peter Parrish,31.0,Male,Operations,Senior,9.0,Analytics,65098.0,61.0,2014-04-04,Noida,Master,No,4.0,2019.0,E07662
E06371,Michael Acosta,38.0,Male,Finance,Junior,2.0,Excel,35909.0,,2023-02-07,Chennai,Bachelor,No,,2023.0,E00653
E09377,Robert Hernandez,24.0,Male,Operations,Senior,3.0,"Analytics, Excel",49838.0,74.0,2017-11-10,Hyderabad,Bachelor,No,4.0,2017.0,E08669
E07502,Holly Smith,40.0,Male,HR,Executive,2.0,Conflict Management,28970.0,73.0,2012-05-17,Mumbai,Bachelor,No,4.0,2012.0,E07707
E09138,Jeremiah Pineda,34.0,Male,Sales,Executive,5.0,Negotiation,36046.0,67.0,2024-06-16,Chennai,Master,No,4.0,2025.0,E03339
E08023,Wendy Stevens,34.0,Female,Finance,Junior,1.0,Finance,27044.0,74.0,2015-12-08,Hyderabad,Bachelor,No,4.0,2015.0,E08443
E01089,Susan Lucas,29.0,Male,IT,Junior,4.0,C++,36275.0,65.0,2025-08-08,Bangalore,Bachelor,No,4.0,2025.0,E08120
E06311,Jermaine Porter,21.0,Male,Marketing,Junior,0.0,Excel,34961.0,50.0,2023-06-16,Pune,Master,Yes,3.0,2023.0,E08792
E06137,Jamie Lane,38.0,Male,IT,Senior,10.0,Java,65015.0,80.0,2020-05-25,Kolkata,Bachelor,No,5.0,2025.0,E00881
E00616,James Evans,30.0,Male,Marketing,Junior,0.0,"Marketing, Communication",30043.0,71.0,2018-11-27,Chennai,Bachelor,No,4.0,2018.0,E08426
E01640,Jessica Parker,29.0,Male,IT,Executive,1.0,"SQL, Python, Cloud Computing",34686.0,45.0,2011-05-11,Bangalore,Master,Yes,3.0,2011.0,E06327
E04667,Jorge Woods,47.0,Male,Marketing,Lead,26.0,"Content Creation, Communication, Marketing",113322.0,69.0,2024-04-26,Chennai,Master,Yes,4.0,2025.0,E09788
E06042,Sandra Moore,32.0,Male,Marketing,Executive,5.0,Content Creation,41342.0,65.0,2021-07-06,Bangalore,Master,No,4.0,2024.0,E07049
E02707,Mr. Matthew Townsend MD,21.0,Male,IT,Junior,0.0,"Python, Java, SQL",28356.0,57.0,2012-01-05,Delhi,Master,Yes,3.0,2012.0,E02915
E01431,Brian Jones,44.0,Female,Sales,Executive,0.0,Communication,31704.0,35.0,2021-07-16,Chennai,Bachelor,No,2.0,2021.0,E06917
E08145,David Romero,28.0,Female,IT,Executive,1.0,"C++, SQL",28802.0,48.0,2015-09-11,Chennai,Master,No,3.0,2015.0,E07673
E05639,Kimberly Houston,38.0,Female,IT,Executive,1.0,"Java, C++",27518.0,45.0,2020-06-27,Noida,Master,No,3.0,2020.0,E06365
E06891,Tracy Allen,40.0,Female,IT,Executive,0.0,"Java, C++",26394.0,56.0,2013-08-31,Hyderabad,Master,No,3.0,2013.0,E06541
E05129,Maria Tate,27.0,Male,Finance,Executive,4.0,Excel,35728.0,78.0,2016-08-12,Bangalore,Master,No,4.0,2016.0,E03770
E01354,Zachary Armstrong,45.0,Male,Sales,Lead,20.0,"Communication, Negotiation, Marketing",101202.0,98.0,2011-06-24,Pune,Master,No,5.0,2025.0,E09031
E06139,Anthony Sanchez,34.0,Male,Finance,Senior,11.0,"Analytics, Accounting",63644.0,71.0,2015-05-19,Chennai,Master,No,4.0,2024.0,E01887
E07405,Christina Garcia,35.0,Female,Finance,Lead,14.0,"Analytics, Excel",93921.0,85.0,2021-10-23,Kolkata,Bachelor,No,5.0,2025.0,E03525
E04664,Brian Bass,33.0,Male,IT,Senior,8.0,"Java, Data Analysis, C++",59812.0,65.0,2015-01-25,Bangalore,Master,Yes,4.0,2020.0,E03899
E02767,Steve Smith,31.0,Male,Operations,Senior,3.0,"Logistics, Project Management",55246.0,71.0,2014-06-05,Delhi,Bachelor,No,4.0,2014.0,E06544
E00807,Jason Paul,28.0,Female,IT,Executive,2.0,"C++, SQL, Cloud Computing",35340.0,58.0,2018-10-17,Pune,High School,No,3.0,2018.0,E09920
E05156,Xavier Lopez,39.0,Male,IT,Senior,9.0,"C++, Cloud Computing",61141.0,62.0,2020-03-23,Bangalore,Master,No,4.0,2025.0,E09060
E03390,Michael Long,34.0,Male,IT,Lead,12.0,"Data Analysis, Cloud Computing",89926.0,86.0,2011-08-11,Mumbai,Master,Yes,5.0,2021.0,E01297
E08052,David Johnson,40.0,Female,HR,Executive,0.0,"Conflict Management, Communication, Excel",30978.0,63.0,2024-05-16,Delhi,High School,No,4.0,2024.0,E07824
E01845,Paula Brown,25.0,Male,Marketing,Junior,0.0,"Communication, Excel",26067.0,57.0,2011-09-18,Kolkata,Master,Yes,3.0,2011.0,E00046
E09897,Daniel Velazquez,37.0,Female,Operations,Junior,6.0,Logistics,43373.0,54.0,2025-01-15,Noida,Master,No,3.0,2025.0,E02910
E00910,Samuel Mccormick,28.0,Male,Operations,Senior,4.0,"Excel, Analytics, Logistics",54872.0,51.0,2024-03-15,Hyderabad,Master,No,3.0,2025.0,E02612
E05258,James Johnson,21.0,Male,Operations,Executive,0.0,Analytics,26252.0,76.0,2019-05-23,Noida,Master,No,4.0,2019.0,E01306
E05078,Brian Ross,33.0,Male,IT,Lead,11.0,"Java, Cloud Computing, C++",86334.0,75.0,2021-12-16,Hyderabad,Bachelor,Yes,4.0,2025.0,E09429
E05581,Nancy Lewis,28.0,Male,IT,Senior,5.0,"Python, Data Analysis",55203.0,54.0,2016-11-29,Hyderabad,Bachelor,Yes,3.0,2021.0,E02733
E00486,Stephanie Dodson,26.0,Male,HR,Junior,2.0,"Communication, Excel",32796.0,61.0,2019-09-06,Noida,Master,No,4.0,2019.0,E09184
E08058,Charles Francis,35.0,Female,IT,Senior,7.0,"Cloud Computing, Data Analysis, Java",63433.0,57.0,2014-06-06,Bangalore,PhD,No,3.0,2018.0,E02960
E04446,Alicia Anderson,29.0,Male,Finance,Executive,4.0,"Finance, Excel",35531.0,59.0,2018-04-16,Delhi,Master,No,3.0,2022.0,E07049
E03931,Lee Martin,40.0,Male,Operations,Lead,13.0,"Logistics, Project Management",92902.0,85.0,2014-06-02,Mumbai,Master,No,5.0,2025.0,E05822
E01822,Miranda Goodman,47.0,Male,Finance,Junior,3.0,"Excel, Accounting, Analytics",33190.0,51.0,2016-02-06,Noida,Master,No,3.0,2016.0,E00219
E04421,Matthew Osborne,37.0,Male,Finance,Executive,2.0,"Analytics, Accounting",33414.0,72.0,2021-08-03,Kolkata,Master,No,4.0,2021.0,E08081
E02196,Matthew Graham,39.0,Male,Operations,Executive,0.0,"Analytics, Logistics",25580.0,87.0,2016-10-13,Hyderabad,Master,No,5.0,2016.0,E09788
E08376,Lisa Webster,21.0,Female,Finance,Junior,0.0,"Finance, Accounting, Excel",33780.0,42.0,2020-03-16,Pune,Master,No,3.0,2020.0,E05776
E08723,Roberta Haas,26.0,Male,IT,Junior,2.0,Java,37114.0,69.0,2016-06-19,Bangalore,Master,No,4.0,2016.0,E07648
E09362,Janet Alvarez,35.0,Male,Sales,Executive,2.0,"Marketing, Negotiation",30886.0,54.0,2024-06-02,Hyderabad,Bachelor,No,3.0,2024.0,E00548
E01530,Kimberly Smith,21.0,Female,,Executive,0.0,"Communication, CRM, Negotiation",30331.0,42.0,2017-05-30,Pune,Master,No,3.0,2017.0,E04014
E01602,Sandra Hicks,36.0,Male,Marketing,Senior,9.0,Communication,64386.0,60.0,2014-05-30,Bangalore,Bachelor,No,4.0,2022.0,E04570
E05678,Jennifer Nelson,37.0,Male,Finance,Manager,14.0,Excel,106692.0,91.0,2023-03-16,Kolkata,Bachelor,No,5.0,2025.0,
E03457,Jasmine Lee,38.0,Male,Finance,Manager,15.0,"Excel, Analytics, Finance",112092.0,88.0,2011-08-24,Delhi,Master,No,5.0,2025.0,
E07657,Jennifer Walls,35.0,Male,Finance,Lead,13.0,"Accounting, Analytics",93024.0,71.0,2025-08-09,Mumbai,Bachelor,No,4.0,2025.0,E05023
E06781,Jessica Palmer,40.0,Male,Sales,Lead,14.0,"Negotiation, Marketing, CRM",89659.0,94.0,2015-03-13,Hyderabad,Bachelor,No,5.0,2025.0,E06746
E06223,James Jones,25.0,Male,Sales,Junior,1.0,"Communication, Negotiation",27441.0,52.0,2018-09-26,Kolkata,High School,No,3.0,2018.0,E05584
E05308,Catherine Chavez,31.0,Male,IT,Senior,4.0,Cloud Computing,51142.0,77.0,2021-11-03,Kolkata,Master,No,4.0,2021.0,E03903
E05480,Mark Floyd,34.0,Female,Finance,Executive,1.0,"Accounting, Excel, Analytics",35660.0,55.0,2015-11-18,Kolkata,High School,No,3.0,2015.0,E01161
E06840,Shelby Kirk,35.0,Male,IT,Manager,14.0,"Java, SQL, Cloud Computing",106358.0,91.0,2021-10-16,Kolkata,Bachelor,Yes,5.0,2025.0,
E02035,Stephanie Keller,35.0,Female,IT,Junior,5.0,Cloud Computing,33481.0,45.0,2024-07-29,Kolkata,PhD,No,3.0,2025.0,E08917
E02941,Joseph Hickman,26.0,Female,Sales,Junior,2.0,"Negotiation, Communication, CRM",35754.0,65.0,2020-10-14,Hyderabad,PhD,No,4.0,2020.0,E08429
E02929,Cindy Marshall,31.0,Male,Sales,Junior,4.0,Communication,37120.0,74.0,2020-02-23,Pune,High School,No,4.0,2024.0,E00517
E03787,Tamara Wright,38.0,Female,Operations,Junior,1.0,Logistics,34928.0,63.0,2023-03-13,Bangalore,Master,No,4.0,2023.0,E00350
E01553,Samantha Davis,38.0,Male,HR,Executive,5.0,"Conflict Management, Communication, Recruitment",36206.0,44.0,2015-08-15,Noida,Bachelor,No,3.0,2020.0,E05023
E02592,Jody Morgan,27.0,Female,Sales,Executive,3.0,"Marketing, CRM",34878.0,85.0,2011-11-08,Mumbai,Master,No,5.0,2011.0,E04004
E02983,Jeffrey Day,25.0,Female,Finance,Junior,2.0,"Excel, Analytics",29696.0,62.0,2024-01-10,Bangalore,Bachelor,No,4.0,2024.0,E06618
E03286,Steven Mcdonald,28.0,Male,IT,Junior,0.0,"C++, Data Analysis, Cloud Computing",29380.0,46.0,2013-05-12,Bangalore,Bachelor,No,3.0,2013.0,E06291
E00496,Phillip Harris,25.0,Male,Finance,Executive,1.0,Excel,29291.0,54.0,2012-04-26,Pune,Master,No,3.0,2012.0,E03964
E00676,Elizabeth Daniel,21.0,Male,Sales,Executive,0.0,"Communication, Negotiation, Marketing",30835.0,68.0,2012-07-22,Chennai,Master,No,4.0,2012.0,E01900
E01208,Allison Ford,22.0,Female,Sales,Executive,1.0,"CRM, Marketing, Negotiation",33168.0,56.0,2012-07-13,Chennai,Master,No,3.0,2012.0,E00098
E02729,Jennifer Day,36.0,Female,Operations,Junior,6.0,Logistics,42833.0,63.0,2016-01-20,Bangalore,Bachelor,No,4.0,2021.0,E09031
E01588,Mr. Jeremy Sosa,36.0,Male,Operations,Manager,12.0,"Excel, Logistics",103867.0,89.0,2021-10-26,Bangalore,High School,No,5.0,2025.0,
E04341,Brian Mora,27.0,Female,IT,Junior,6.0,"Data Analysis, Cloud Computing",37479.0,66.0,2011-01-13,Bangalore,Bachelor,Yes,4.0,2016.0,E09031
E09249,Brenda George,37.0,Female,Operations,Senior,4.0,"Analytics, Project Management",56938.0,66.0,2023-01-23,Pune,Bachelor,No,4.0,2025.0,E08711
E02207,James Garcia,28.0,Female,Sales,Executive,6.0,"CRM, Communication",43579.0,53.0,2023-10-06,Noida,Master,No,3.0,2025.0,E02775
E00686,Kevin Jimenez,37.0,Female,IT,Senior,6.0,"Data Analysis, Python, Java",55153.0,66.0,2020-06-17,Pune,Master,Yes,4.0,2025.0,E06140
E07693,Judy Calderon,42.0,Male,HR,Senior,7.0,"Recruitment, Conflict Management, Communication",61138.0,65.0,2012-06-01,Noida,Master,No,4.0,2017.0,E09773
E07384,Julia Fields,31.0,Female,Marketing,Executive,3.0,"Excel, SEO, Communication",29674.0,61.0,2019-10-23,Noida,High School,Yes,4.0,2022.0,E08337
E00462,Holly Lynn,34.0,Male,IT,Lead,11.0,"Java, C++",84582.0,75.0,2021-11-18,Hyderabad,High School,No,4.0,2025.0,E07725
E06918,Kara Anderson,44.0,Male,Sales,Junior,5.0,"Communication, Marketing, Negotiation",37758.0,70.0,2012-04-25,Kolkata,Master,No,4.0,2016.0,E02338
E02603,James Guzman,30.0,Female,Finance,Senior,9.0,"Analytics, Accounting",64745.0,66.0,2012-05-12,Kolkata,Bachelor,No,4.0,2020.0,E05222
E02590,Christopher Dean,40.0,Female,Marketing,Junior,6.0,SEO,37375.0,57.0,2021-03-17,Delhi,Master,Yes,3.0,2025.0,E00567
E05981,Monique Henderson,31.0,Male,IT,Executive,6.0,"SQL, C++, Cloud Computing",36986.0,58.0,2015-06-15,Mumbai,Bachelor,No,3.0,2021.0,E00350
E07826,Sarah Ball,36.0,Female,IT,Senior,9.0,SQL,64920.0,76.0,2011-01-10,Bangalore,Master,Yes,4.0,2020.0,E01123
E07053,Alejandro Fuller,31.0,Female,Marketing,Lead,7.0,"SEO, Communication",81011.0,98.0,2024-03-22,Mumbai,Bachelor,Yes,5.0,2025.0,E00514
E00566,Teresa Wilson,31.0,Female,HR,Executive,2.0,"Recruitment, Communication, Excel",28387.0,52.0,2011-06-15,Kolkata,PhD,No,3.0,2011.0,E07300
E08809,Rebekah Mcgee,34.0,Male,Operations,Junior,0.0,"Project Management, Logistics, Analytics",31114.0,68.0,2010-12-06,Hyderabad,Bachelor,No,4.0,2010.0,E04014
E09106,William Owens,24.0,Male,IT,Junior,3.0,SQL,31931.0,66.0,2020-06-10,Noida,Master,Yes,4.0,2020.0,E05167
E05821,Paula Miller DVM,21.0,Male,Finance,Junior,0.0,Finance,26260.0,65.0,2019-10-29,,Bachelor,No,4.0,2019.0,E04167
E09630,James Rodriguez,29.0,Male,Finance,Junior,6.0,"Analytics, Finance, Accounting",38783.0,63.0,2011-04-26,Mumbai,PhD,No,4.0,2016.0,E00268
E02559,Elaine Warner,35.0,Female,Sales,Manager,14.0,"Marketing, Negotiation",109365.0,65.0,2012-11-12,Noida,Master,No,4.0,2022.0,
E01009,Tamara Tran,26.0,Male,IT,Junior,0.0,Cloud Computing,27263.0,50.0,2018-03-09,Hyderabad,PhD,Yes,3.0,2018.0,E02135
E02436,Mark Davis,34.0,Male,Finance,Junior,1.0,Finance,28195.0,65.0,2023-05-23,Delhi,Master,No,4.0,2023.0,E01800
E05210,Elizabeth Goodwin,31.0,Male,Operations,Junior,1.0,"Analytics, Excel, Logistics",36264.0,40.0,2015-12-07,Delhi,Master,No,3.0,2015.0,E05023
E09535,Chad Harris,33.0,Female,HR,Junior,5.0,"Recruitment, Communication",42396.0,55.0,2020-07-20,Bangalore,Master,No,3.0,2024.0,E03374
E08383,Stephanie Briggs,41.0,Female,IT,Manager,15.0,SQL,111886.0,100.0,2019-09-06,Chennai,Master,No,5.0,2025.0,
E01688,Gerald Webb,25.0,Male,HR,Executive,3.0,"Conflict Management, Excel, Communication",31684.0,58.0,2013-07-21,Bangalore,Bachelor,No,3.0,2013.0,E02411
E08870,Stephen Paul,27.0,Female,IT,Executive,4.0,"SQL, Data Analysis",40274.0,61.0,2019-02-25,Kolkata,Bachelor,Yes,4.0,2022.0,E03772
E03265,Derrick Jordan,32.0,Female,Finance,Executive,5.0,"Analytics, Excel",35574.0,52.0,2019-03-15,Bangalore,Master,No,3.0,2022.0,E01314
E00669,Sherri Mccormick,35.0,Male,IT,Lead,9.0,Data Analysis,83592.0,76.0,2015-01-17,Pune,High School,Yes,4.0,2023.0,E08711
E08026,Kelly Jones,24.0,Female,HR,Executive,2.0,"Conflict Management, Communication, Excel",35036.0,52.0,2011-03-14,Bangalore,PhD,No,3.0,2011.0,E06386
E06737,John Woods,30.0,Male,Finance,Senior,8.0,"Finance, Excel, Accounting",61600.0,56.0,2018-01-28,Kolkata,Bachelor,No,3.0,2025.0,E08463
E01099,Timothy Bailey,35.0,Female,Operations,Manager,14.0,Project Management,110171.0,85.0,2024-12-18,Bangalore,Bachelor,No,5.0,2025.0,
E00145,Dawn Mcconnell,46.0,Female,Marketing,Manager,22.0,Content Creation,119165.0,89.0,2011-12-09,Kolkata,Master,Yes,5.0,2025.0,
E00155,Tony Morris,40.0,Female,IT,Manager,14.0,"Cloud Computing, Java, SQL",109552.0,89.0,2019-11-12,Bangalore,Bachelor,Yes,5.0,2025.0,
E00162,Sandra Rice,47.0,Female,IT,Lead,24.0,"SQL, Cloud Computing, Data Analysis",101464.0,92.0,2022-12-24,Pune,Bachelor,Yes,5.0,2025.0,E03099
E00756,Cody Chapman,43.0,Male,Finance,Lead,9.0,Excel,79353.0,87.0,2015-01-30,Bangalore,Master,No,5.0,2023.0,E07375
E02395,Matthew Velasquez,44.0,Male,Finance,Executive,0.0,"Analytics, Accounting",28260.0,51.0,2015-09-05,Bangalore,Bachelor,No,3.0,2015.0,E09562
E09717,Billy Ferguson,21.0,Male,Marketing,Executive,0.0,Communication,32090.0,42.0,2014-07-30,Bangalore,Bachelor,Yes,3.0,2014.0,E02382
E03630,Christopher Harris,27.0,Female,Sales,Junior,1.0,Communication,30817.0,68.0,2013-10-16,Bangalore,Bachelor,No,4.0,2013.0,E08901
E07735,Curtis Buck,25.0,Female,IT,Junior,4.0,"Cloud Computing, SQL, C++",35520.0,47.0,2016-10-14,Hyderabad,Master,Yes,3.0,2020.0,E09158
E03671,Casey Edwards,26.0,Male,,Junior,0.0,"Communication, Marketing, SEO",30699.0,41.0,2011-06-12,Mumbai,Master,No,3.0,2011.0,E07707
E07010,Yvette Ross,25.0,Female,Finance,Executive,1.0,"Analytics, Finance",34525.0,61.0,2024-03-30,Delhi,Bachelor,No,4.0,2024.0,E02195
E04968,Brent Ramirez,25.0,Male,IT,Junior,3.0,Cloud Computing,32850.0,40.0,2016-09-24,Pune,High School,Yes,3.0,2016.0,E00990
E00530,Lisa Nguyen,33.0,Female,Operations,Executive,0.0,"Logistics, Excel",27888.0,64.0,2011-07-07,Mumbai,Bachelor,No,4.0,2011.0,E09864
E05974,Jonathan Armstrong,28.0,Male,Finance,Junior,2.0,"Excel, Finance",30653.0,63.0,2016-09-03,Pune,Master,No,4.0,2016.0,E05273
E00829,Christopher Harrison,30.0,Female,Marketing,Senior,6.0,"Excel, Marketing",60739.0,84.0,2015-11-21,Noida,Bachelor,Yes,5.0,2020.0,E05849
E06479,Justin Hayes,28.0,Female,Marketing,Senior,7.0,"SEO, Excel",58230.0,87.0,2020-09-29,Mumbai,PhD,Yes,5.0,2025.0,E08081
E07016,Paula Gibbs,32.0,Female,IT,Lead,9.0,"C++, Data Analysis",78838.0,60.0,2017-10-30,Pune,Bachelor,Yes,4.0,2025.0,E09380
E09075,Daniel Harrison,33.0,Male,Finance,Executive,3.0,"Excel, Accounting, Finance",29966.0,64.0,2016-05-01,Delhi,Bachelor,No,4.0,2016.0,E00193
E02588,Julie Cook,42.0,Male,Finance,Lead,18.0,Finance,100034.0,86.0,2016-08-03,Bangalore,Bachelor,No,5.0,2025.0,
E09340,Brett Sheppard,21.0,Female,Operations,Junior,0.0,"Project Management, Excel",27162.0,63.0,2014-12-02,Bangalore,Bachelor,No,4.0,2014.0,E01901
E08852,Janice Erickson,40.0,Female,Operations,Junior,0.0,Analytics,32080.0,51.0,2015-07-04,Delhi,Bachelor,No,3.0,2015.0,E08901
E04060,Mitchell Ryan,26.0,Female,IT,Executive,4.0,"Data Analysis, C++",31606.0,65.0,2012-07-01,Kolkata,Bachelor,Yes,4.0,2012.0,E01954
E02606,Cheryl Barr,38.0,Male,HR,Manager,13.0,Conflict Management,107758.0,79.0,2022-12-31,Delhi,Bachelor,,4.0,2025.0,
E08989,Heather Kaufman,26.0,Male,IT,Junior,5.0,"Data Analysis, Python, C++",34056.0,61.0,2018-12-20,Bangalore,Bachelor,No,4.0,2023.0,E08955
E06096,Brittany Blake,21.0,Male,IT,Executive,0.0,Python,25434.0,49.0,2019-09-13,Bangalore,Bachelor,Yes,3.0,2019.0,E01363
E07859,Shawn Manning,31.0,Male,Sales,Junior,6.0,Communication,39736.0,74.0,2023-09-02,Mumbai,Bachelor,No,4.0,2025.0,E02655
E00480,Brian Singleton,29.0,Female,Operations,Senior,8.0,Analytics,57851.0,62.0,2022-01-06,Noida,Bachelor,No,4.0,2025.0,E08338
E05396,Matthew Hodges,21.0,Male,Operations,Junior,0.0,Logistics,26648.0,69.0,2012-08-09,Bangalore,Master,No,4.0,2012.0,E07662
E02083,Johnny Thomas,36.0,Female,HR,Executive,5.0,"Recruitment, Excel",37660.0,79.0,2022-08-29,Delhi,Bachelor,No,4.0,2025.0,E02173
E00684,Brandon Clark,31.0,Female,HR,Senior,9.0,Recruitment,62232.0,79.0,2022-08-16,Chennai,Master,No,4.0,2025.0,E05133
E03357,Glenn Higgins,43.0,Male,Operations,Lead,14.0,Excel,95231.0,100.0,2016-09-28,Kolkata,Bachelor,No,5.0,2025.0,E07230
E05409,Melanie Ortega,21.0,Female,Operations,Junior,0.0,"Analytics, Excel",33647.0,41.0,2015-11-24,Chennai,Bachelor,No,3.0,2015.0,E02899
E06066,Melissa Martin,34.0,Male,Sales,Executive,1.0,"Communication, CRM",30418.0,68.0,2015-05-12,Delhi,Master,No,4.0,2015.0,E06629
E08866,Peter Lee,38.0,Female,Finance,Executive,6.0,Finance,37479.0,51.0,2025-03-14,Chennai,Master,No,3.0,2025.0,E00071
E07932,David Ortiz,29.0,Female,Operations,Executive,5.0,Project Management,34378.0,51.0,2018-07-10,Delhi,Bachelor,No,3.0,2022.0,E09274
E02307,Kimberly Miller,36.0,Male,HR,Junior,2.0,,33036.0,77.0,2019-03-29,Hyderabad,Bachelor,No,4.0,2019.0,E03036
E03714,David Gill,42.0,Female,Sales,Executive,6.0,"Negotiation, Communication",40423.0,37.0,2023-02-25,Hyderabad,Bachelor,No,2.0,2025.0,E08175
E03957,Amy Holland,21.0,Male,Finance,Junior,0.0,"Finance, Accounting",29678.0,67.0,2022-08-31,Pune,Bachelor,No,4.0,2022.0,E00714
E01939,Katelyn James,22.0,Female,Operations,Executive,1.0,Analytics,30185.0,52.0,2024-02-05,Pune,Bachelor,No,3.0,2024.0,E01887
E09097,Anthony Hill,21.0,Female,HR,Junior,0.0,"Conflict Management, Excel, Communication",26180.0,75.0,2023-10-09,Bangalore,Bachelor,No,4.0,,E01010
E02114,Jessica Reyes,21.0,Male,Finance,Executive,0.0,Accounting,30058.0,52.0,2017-08-30,Kolkata,Master,No,3.0,2017.0,E05133
E02877,Jose Martin,38.0,Female,IT,Senior,8.0,"Cloud Computing, SQL, Data Analysis",62632.0,58.0,2019-08-29,Delhi,Bachelor,Yes,3.0,2025.0,E08129
E08497,Lori Cortez,23.0,Male,Sales,Executive,2.0,"Marketing, Communication",37628.0,52.0,2011-12-21,Delhi,Bachelor,No,3.0,2011.0,E03892
E00980,Ryan Brown,21.0,Male,IT,Junior,0.0,"Java, SQL",34046.0,55.0,2022-06-26,Delhi,Bachelor,Yes,3.0,2022.0,E05452
E04479,Alexander May,35.0,Male,Finance,Senior,6.0,Excel,56865.0,77.0,2020-02-01,Bangalore,Master,No,4.0,2025.0,E07369
